station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(?S/CM) at 25?,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,01-11-2019 00:00,NULL,NULL,NULL,NULL,NULL,0,133,NULL,0.86,NULL,NULL,1.2,19,NULL,NULL,NULL,43.8,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,333,NULL,0.38,NULL,0.7,47,118,163,NULL,2.7,17,NULL,33.2,38,NULL,NULL,NULL,0.4,0.33,NULL,0.15,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.8,NULL,NULL,0.3,1.3,NULL,NULL,0.1,NULL,8.6,NULL,NULL,NULL,200,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.07,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,01-12-2005 00:00,NULL,NULL,NULL,NULL,NULL,0,148,NULL,NULL,NULL,NULL,NULL,28.8,NULL,NULL,NULL,34.435,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,401,NULL,NULL,NULL,NULL,NULL,128.7,180.56,NULL,NULL,13.608,NULL,46.46,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.43,NULL,NULL,0.402573,1.78727,NULL,72,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,03-01-2011 00:00,NULL,NULL,NULL,NULL,NULL,0,211.385,NULL,NULL,NULL,NULL,0.383,31.07,NULL,NULL,NULL,61.26,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,535,NULL,0.351,NULL,NULL,NULL,162.758,257.89,NULL,6.2,20.42,NULL,52.6,40.2995,NULL,NULL,NULL,NULL,0.576,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.87,NULL,NULL,0.996284,1.80014,NULL,77.675,NULL,NULL,14.2,NULL,NULL,NULL,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,01-12-2010 00:00,NULL,NULL,NULL,NULL,NULL,0,134.074,NULL,NULL,NULL,NULL,0.89,19.62,NULL,NULL,NULL,26.8,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,287,NULL,0.184,NULL,NULL,NULL,105.758,163.57,NULL,3,13.61,NULL,25.5,33.7653,NULL,NULL,NULL,NULL,0.172,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,8.05,NULL,NULL,0.58205,1.0827,NULL,49.05,NULL,NULL,3.81,NULL,NULL,NULL,NULL,23.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,03-11-2009 00:00,NULL,NULL,NULL,NULL,NULL,0,262.85,NULL,NULL,NULL,NULL,1.609,24.48,NULL,NULL,NULL,87.6495,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,258,NULL,0.4465,NULL,NULL,NULL,121.95,320.677,NULL,6.8816,14.58,NULL,102.051,63.0857,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.7,NULL,NULL,2.83488,4.03423,NULL,61.2,NULL,NULL,8.256,NULL,NULL,NULL,NULL,27.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,06-03-2017 00:00,NULL,NULL,NULL,NULL,NULL,0,122.107,NULL,NULL,NULL,NULL,2.65,17.64,NULL,NULL,NULL,121.12,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,626,NULL,0.259,NULL,NULL,NULL,84.6417,148.97,NULL,3.6,9.73,NULL,93,69.5263,0.0313,NULL,NULL,0.544,0.542,NULL,0.004,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.82,NULL,NULL,0.760825,4.41246,NULL,44.1,NULL,NULL,20.36,NULL,NULL,NULL,342,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.002,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,09-09-2014 00:00,NULL,NULL,NULL,NULL,NULL,0,160,NULL,NULL,NULL,NULL,1.47,32.06,NULL,NULL,NULL,65.23,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,472,NULL,0.445,NULL,NULL,NULL,143.192,195.2,NULL,3.4,15.13,NULL,50.2,42.6854,NULL,NULL,NULL,NULL,0.64,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.63,NULL,NULL,0.354609,1.83082,NULL,80.15,NULL,NULL,21.21,NULL,NULL,NULL,264,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,02-01-2006 00:00,NULL,NULL,NULL,NULL,NULL,0,216.5,NULL,NULL,NULL,NULL,NULL,32.8,NULL,NULL,NULL,82.005,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,739,NULL,NULL,NULL,NULL,NULL,165.025,264.13,NULL,NULL,19.926,NULL,86.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.15,NULL,NULL,1.05288,2.9311,NULL,82,NULL,NULL,NULL,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,13-10-2014 00:00,NULL,NULL,NULL,NULL,NULL,0,185,NULL,NULL,NULL,NULL,0.99,30.38,NULL,NULL,NULL,99.26,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,631,NULL,0.485,NULL,NULL,NULL,161.283,225.7,NULL,6.3,20.48,NULL,75,49.2439,NULL,NULL,NULL,NULL,1.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,8,NULL,NULL,0.498146,2.57854,NULL,75.95,NULL,NULL,32.44,NULL,NULL,NULL,339,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,01-11-2014 00:00,NULL,NULL,NULL,NULL,NULL,0,110,NULL,NULL,NULL,NULL,2.01,18.56,NULL,1.367,NULL,61.17,NULL,0,NULL,NULL,NULL,18.27,14.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,382,NULL,0.364,NULL,0.004,NULL,89.0667,134.2,NULL,2.8,10.24,NULL,45.6,51.8699,NULL,0.28,NULL,NULL,1.2,NULL,NULL,NULL,NULL,NULL,0.48,NULL,NULL,NULL,8,8.09,NULL,NULL,0.430846,2.1091,NULL,46.4,NULL,NULL,6.29,NULL,NULL,NULL,204,28,NULL,NULL,NULL,NULL,NULL,NULL,3,NULL,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,01-12-2014 00:00,NULL,NULL,NULL,NULL,NULL,0,140,NULL,NULL,NULL,NULL,2.01,25.31,NULL,NULL,NULL,66.73,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,472,NULL,0.296,NULL,NULL,NULL,114.483,170.8,NULL,3.6,12.29,NULL,50.4,48.0892,NULL,NULL,NULL,NULL,2.97,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.55,NULL,NULL,0.525218,2.05577,NULL,63.275,NULL,NULL,8.85,NULL,NULL,NULL,251,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,18-05-2015 00:00,NULL,NULL,NULL,NULL,NULL,0,108.197,NULL,NULL,NULL,NULL,1.64,22.71,NULL,NULL,NULL,61.77,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,421,NULL,0.389,NULL,NULL,NULL,104.067,132,NULL,2.9,11.35,NULL,46.1,48.3572,0.078,NULL,NULL,0.795,0.79,NULL,0.006,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.91,NULL,NULL,0.0963398,1.97232,NULL,56.775,NULL,NULL,22,NULL,NULL,NULL,223,30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.005,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,01-06-2015 00:00,NULL,NULL,NULL,NULL,NULL,0,240,NULL,NULL,NULL,NULL,2.55,21.38,NULL,NULL,NULL,243.9,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1114,NULL,0.719,NULL,NULL,NULL,185.2,292.8,NULL,4.5,31.62,NULL,185,68.0163,0.12,NULL,NULL,0.798,0.797,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.91,NULL,NULL,1.13046,5.94132,NULL,53.45,NULL,NULL,54.94,NULL,NULL,NULL,662,31.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.001,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,30-10-2015 00:00,NULL,NULL,NULL,NULL,NULL,0,296.467,NULL,NULL,NULL,NULL,1.09,42.75,NULL,NULL,NULL,264.33,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1350,NULL,0.86,NULL,NULL,NULL,242,361.69,NULL,6.8,32.43,NULL,204.5,64.1275,0.063,NULL,NULL,1.256,1.251,NULL,0.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.65,NULL,NULL,1.12653,5.74064,NULL,106.875,NULL,NULL,76.69,NULL,NULL,NULL,785,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.005,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,02-11-2015 00:00,NULL,NULL,NULL,NULL,NULL,0,248.279,NULL,NULL,NULL,NULL,1.82,33.4,NULL,NULL,NULL,220.27,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1100,NULL,0.777,NULL,NULL,NULL,184.833,302.9,NULL,4.4,24.32,NULL,168,65.9042,0.069,NULL,NULL,0.707,0.706,NULL,0.005,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.6,NULL,NULL,1.29686,5.39598,NULL,83.5,NULL,NULL,36.11,NULL,NULL,NULL,605,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.001,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,08-12-2015 00:00,NULL,NULL,NULL,NULL,NULL,0,114.943,NULL,NULL,NULL,NULL,2.01,24.05,NULL,NULL,NULL,77.1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,477,NULL,0.28,NULL,NULL,NULL,114.167,140.23,NULL,2,12.97,NULL,55.1,50.8279,0.039,NULL,NULL,0.194,0.193,NULL,0.01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.68,NULL,NULL,0.0310613,2.25091,NULL,60.125,NULL,NULL,22.47,NULL,NULL,NULL,254,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.001,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,04-01-2016 00:00,NULL,NULL,NULL,NULL,NULL,0,164.705,NULL,NULL,NULL,NULL,1.09,34.74,NULL,NULL,NULL,117.72,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,720,NULL,0.299,NULL,NULL,NULL,164.558,200.94,NULL,4.6,18.65,NULL,90.9,53.8686,0.053,NULL,NULL,0.781,0.78,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.99,NULL,NULL,0.0252968,3.09299,NULL,86.85,NULL,NULL,29.02,NULL,NULL,NULL,382,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.001,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,22-02-2016 00:00,NULL,NULL,NULL,NULL,NULL,18.7497,89.4123,NULL,NULL,NULL,NULL,1.46,22.44,NULL,NULL,NULL,104.34,NULL,22.59,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,543,NULL,0.372,NULL,NULL,NULL,100.683,63.15,NULL,5.5,10.7,NULL,71.8,59.3282,0.029,NULL,NULL,0.446,0.446,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,8.35,NULL,NULL,0,3.12285,NULL,56.1,NULL,NULL,32.55,NULL,NULL,NULL,288,25.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,17-05-2016 00:00,NULL,NULL,NULL,NULL,NULL,0,152.172,NULL,NULL,NULL,NULL,1.09,32.06,NULL,NULL,NULL,147.15,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,768,NULL,0.557,NULL,NULL,NULL,144.983,185.65,NULL,4.4,15.56,NULL,112.5,62.0498,0.047,NULL,NULL,0.694,0.692,NULL,0.238,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.51,NULL,NULL,0.162688,4.07764,NULL,80.15,NULL,NULL,34.69,NULL,NULL,NULL,428,29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.002,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,26-08-2019 00:00,NULL,NULL,NULL,NULL,NULL,0,165,0.5,0.14,NULL,NULL,2.6,25,NULL,0.5,NULL,140.9,NULL,0,NULL,NULL,NULL,13.5,8.9,NULL,NULL,NULL,NULL,NULL,NULL,NULL,852,NULL,0.49,NULL,0.1,62,161,202,NULL,6.2,23.6,NULL,110.5,59,NULL,9.4,NULL,0.84,0.83,NULL,0.15,NULL,NULL,NULL,0.9,NULL,NULL,NULL,NULL,7.1,NULL,NULL,0.1,3.8,NULL,NULL,9.4,NULL,52.6,NULL,NULL,NULL,511,25.5,NULL,NULL,NULL,NULL,NULL,NULL,8.8,0.01,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,16-09-2019 00:00,NULL,NULL,NULL,NULL,NULL,0,148,NULL,0.25,NULL,NULL,4,20,NULL,NULL,NULL,88.7,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,551,NULL,0.43,NULL,1,51,125,181,NULL,6.9,17.9,NULL,72.1,54,NULL,NULL,NULL,0.05,0.03,NULL,0.11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.6,NULL,NULL,0.5,2.8,NULL,NULL,5.6,NULL,32.3,NULL,NULL,NULL,328,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.02,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,01-10-2019 00:00,NULL,NULL,NULL,NULL,NULL,0,132,NULL,0.19,NULL,NULL,3.4,18,NULL,NULL,NULL,74.3,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,509,NULL,0.43,NULL,0.6,46,104,161,NULL,3.2,13.9,NULL,61.4,56,NULL,NULL,NULL,0.19,0.18,NULL,0.09,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,8,NULL,NULL,0.6,2.6,NULL,NULL,1.2,NULL,22.8,NULL,NULL,NULL,305,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,01-11-2011 00:00,NULL,NULL,NULL,NULL,NULL,0,92.1639,NULL,NULL,NULL,NULL,2.17,9.62,NULL,NULL,NULL,44.67,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,330,NULL,0.357,NULL,NULL,NULL,72.675,112.44,NULL,2.8,11.67,NULL,37.8,52.0944,NULL,NULL,NULL,NULL,0.125,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.05,7.85,NULL,NULL,0.402653,1.93746,NULL,24.05,NULL,NULL,2.07,NULL,NULL,NULL,NULL,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,09-07-2011 00:00,NULL,NULL,NULL,NULL,NULL,0,280,NULL,NULL,NULL,NULL,1.364,54.51,NULL,NULL,NULL,135.64,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1086,NULL,0.776,NULL,NULL,NULL,160.567,341.6,NULL,6.7,5.83,NULL,154.3,66.5636,NULL,NULL,NULL,NULL,3.96,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.72,NULL,NULL,2.3992,5.30599,NULL,136.275,NULL,NULL,21.32,NULL,NULL,NULL,NULL,29.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,01-12-2008 00:00,NULL,NULL,NULL,NULL,NULL,0,100,NULL,NULL,NULL,NULL,NULL,19.2,NULL,NULL,NULL,47.6765,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,206,NULL,NULL,NULL,NULL,NULL,94.575,122,NULL,NULL,11.178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7,NULL,NULL,0.121747,NULL,NULL,48,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26.25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,01-11-2016 00:00,NULL,NULL,NULL,NULL,NULL,0,283.361,NULL,NULL,NULL,NULL,0.82,38.48,NULL,NULL,NULL,248.49,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1254,NULL,0.641,NULL,NULL,NULL,209.7,345.7,NULL,5.7,27.24,NULL,191.5,65.9136,0.136,NULL,NULL,0.946,0.942,NULL,0.178,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.69,NULL,NULL,1.5046,5.77437,NULL,96.2,NULL,NULL,42.06,NULL,NULL,NULL,696,28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.004,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,11-01-2018 00:00,NULL,NULL,NULL,NULL,NULL,0,97,NULL,NULL,NULL,NULL,2,22,NULL,NULL,NULL,96.1,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,601,NULL,0.59,NULL,NULL,56,121,118,NULL,4.7,15.6,NULL,74.6,56,0.02,NULL,NULL,0.03,0.02,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,8.3,NULL,NULL,0,3,NULL,NULL,NULL,NULL,37.8,NULL,NULL,NULL,313,25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,02-12-2019 00:00,NULL,NULL,NULL,NULL,NULL,0,90,4.2,0.07,NULL,NULL,2.2,15,NULL,0,NULL,36.2,NULL,0,NULL,NULL,NULL,0.8,0.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,266,NULL,0.21,NULL,0.1,38,85,110,NULL,2.1,11.1,NULL,25.8,39,NULL,1.7,NULL,0.21,0.17,NULL,0.06,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,7.7,NULL,NULL,0.1,1.2,NULL,NULL,0,NULL,9.8,NULL,NULL,NULL,154,26,NULL,NULL,NULL,NULL,NULL,NULL,0.2,0.04,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,01-01-2020 00:00,NULL,NULL,NULL,NULL,NULL,0,154,NULL,0.03,NULL,NULL,1.6,31,NULL,NULL,NULL,69.8,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,536,NULL,0.35,NULL,0,77,155,188,NULL,3.5,18.7,NULL,54,43,NULL,NULL,NULL,0.41,0.35,NULL,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.8,NULL,NULL,0,1.9,NULL,NULL,12.5,NULL,21.8,NULL,NULL,NULL,323,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.06,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,27-08-2018 00:00,NULL,NULL,NULL,NULL,NULL,0,129,NULL,NULL,NULL,NULL,1.5,19,NULL,NULL,NULL,36,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,358,NULL,0.4,NULL,NULL,48,76,158,NULL,3.9,6.7,NULL,48.6,57,0.05,NULL,NULL,0.29,0.29,NULL,0.13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.6,NULL,NULL,1.1,2.4,NULL,NULL,NULL,NULL,18.8,NULL,NULL,NULL,190,27.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,01-10-2018 00:00,NULL,NULL,NULL,NULL,NULL,0,97,NULL,NULL,NULL,NULL,2.1,14,NULL,NULL,NULL,71.8,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,443,NULL,0.21,NULL,NULL,36,88,118,NULL,3.2,12.5,NULL,55.8,57,0.12,NULL,NULL,1.82,1.81,NULL,0.03,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.5,NULL,NULL,0.2,2.6,NULL,NULL,NULL,NULL,19.9,NULL,NULL,NULL,226,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL
