station_code,station_name,station_type,state_name,district_name,block_name,basin_name,sub_basin_name,agency_name,date_collection,_24d,_401,SILVER(mg/L),ALUMINIUM,ALDRIN,"ALKALINITY,PHENOLPHTHALEIN(mg/L)",TOTAL ALKALINITY,ARSENIC(mg/l),BORON(mg/L),BARIUM,GAMMA-BHC(BENZENE HEXACHLORIDE),BIOCHEMICAL OXYGEN DEMAND(mg/L),CALCIUM(mg/L),CARBON(14),CADMIUM,CHLOROPHY11-a,CHLORIDE,CYANIDE,CARBONATE(mg/L),FECAL STREPTOCOCCI(MPN/100ml),CHEMICAL OXYGEN DEMAND,COLOUR,CHROMIUM(mg/L),COPPER,DDT,DIELDRIN,DISSOLVED OXYGEN(mg/L),DISSOLVED OXYGEN(mg/L),ALKALINITY(TOTAL),DISSOLVED OXYGEN SATURATION(%),ELECTRICAL CINDUCTIVITY FIELD,ELECTRICAL CONDUCTIVITY(?S/CM) at 25?,ENDOSULPHAN,FLUORIDE,FECAL COLIFORMS(mpn/100ml),IRON(mg/L),CALCIUM HARDNESS(mg/L),TOTAL HARDNESS(mg/L),BICARBONATE(mg/L),MERCURY(mg/L),POTASSIUM(mg/L),MAGNESIUM(mg/L),MANGANESE(mg/L),SODIUM,PERCENT SODIUM,AMMONIA-N(mg/L),NICKEL(mg/L),"NITROGEN,NITRITE","NITROGEN, TOTAL OXIDISED(NO2+NO3)",no3_n,ODOUR,o_po4_p,"NITROGEN,ORGANIC",OXYGEN(18),FLUORANTHENE,LEAD(mg/L),PCB-1242,PH,TOTAL PHENOLS,PH_FIELD,PH,PHOSPHORUS(TOTAL),RADON,RESIDUAL SODIUM CARBONATE,SODIUM ABSORPTION RATIO,SELENIUM(mg/L),SECCHI DEPTH,SILICATE(sio2)(mg/L),SILICATE(sio3),SULPHATE(mg/L),"SOLIDS,SUSPENDED",STRONTIUM,TOTAL COLIFORNS(MPN/100ml),TOTAL DISSOLVED SOLIDS(mg/L),TEMPERATURE,TEST,TOTAL ORGANIC CARBON,TRITIUM,SOLIDS(TOTAL),TURBIDITY(NTU),URANIUM,ZINC(mg/L),"NITROGEN,NITRITE",CALCIUM CARBONATE,MAGNESIUM CARBONATE,BIOCHEMICAL OXYGEN DEAMND,MAGNESIUM HARDNESS
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,02-01-2021 00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.02,NULL,NULL,2.36,34.79,NULL,NULL,NULL,51.91,NULL,0,NULL,24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.48,NULL,NULL,394.6,NULL,0.34,NULL,NULL,NULL,NULL,174.65,NULL,4.5,15.6,NULL,30.2,NULL,0.29,NULL,NULL,0.53,0.53,NULL,0.12,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.98,NULL,NULL,NULL,NULL,NULL,NULL,13.54,NULL,4.58,NULL,NULL,NULL,237.7,27,NULL,NULL,NULL,NULL,18.4,NULL,NULL,0,NULL,NULL,NULL,NULL
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,01-12-2010 00:00,NULL,NULL,NULL,NULL,NULL,0,141.516,NULL,NULL,NULL,NULL,1.86,27.8,NULL,NULL,NULL,49.77,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,374,NULL,0.298,NULL,NULL,NULL,134.333,172.65,NULL,5.4,15.56,NULL,29.7,31.5265,NULL,NULL,NULL,NULL,0.263,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.2,7.76,NULL,NULL,0.162198,1.11857,NULL,69.5,NULL,NULL,10.4,NULL,NULL,NULL,NULL,26.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,06-12-2020 00:00,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.29,NULL,NULL,1,29.01,NULL,NULL,NULL,41.57,NULL,0,NULL,13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.23,NULL,NULL,298.1,NULL,0.81,NULL,NULL,NULL,NULL,115.71,NULL,3.5,4.63,NULL,25.9,NULL,NULL,NULL,NULL,0.58,0.57,NULL,0.14,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.82,NULL,NULL,NULL,NULL,NULL,NULL,7.84,NULL,4.38,NULL,NULL,NULL,177.8,27,NULL,NULL,NULL,NULL,1.3,NULL,NULL,0.01,NULL,NULL,NULL,NULL
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,01-12-2011 00:00,NULL,NULL,NULL,NULL,NULL,0,144,NULL,NULL,NULL,NULL,2.24,22.44,NULL,NULL,NULL,79.04,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,538,NULL,0.282,NULL,NULL,NULL,149.267,175.68,NULL,5.4,22.36,NULL,48.2,40.3614,NULL,NULL,NULL,NULL,0.323,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,8.06,NULL,NULL,0,1.72343,NULL,56.1,NULL,NULL,7.61,NULL,NULL,NULL,NULL,27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,04-11-2011 00:00,NULL,NULL,NULL,NULL,NULL,0,144,NULL,NULL,NULL,NULL,2.12,22.44,NULL,NULL,NULL,82.47,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,453,NULL,0.299,NULL,NULL,NULL,141.183,175.68,NULL,3.9,20.42,NULL,59.9,47.326,NULL,NULL,NULL,NULL,0.19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,8.02,NULL,NULL,0.0794373,2.20198,NULL,56.1,NULL,NULL,5.98,NULL,NULL,NULL,NULL,25.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,02-01-2012 00:00,NULL,NULL,NULL,NULL,NULL,0,103.68,NULL,NULL,NULL,NULL,2.22,8.02,NULL,NULL,NULL,54.98,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,408,NULL,0.258,NULL,NULL,NULL,92.9667,126.49,NULL,4.4,17.5,NULL,42.1,48.3938,NULL,NULL,NULL,NULL,0.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.51,NULL,NULL,0.233062,1.90907,NULL,20.05,NULL,NULL,6.7,NULL,NULL,NULL,NULL,25.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
018-HYDCHENNAI,Kumarapalayam,Surface Water,Puducherry,Puducherry,Puducherry,East flowing rivers between Pennar and Kanyakumari Basin,Ponnaiyar and other,CWC,01-11-2012 00:00,NULL,NULL,NULL,NULL,NULL,0,77.5492,NULL,NULL,NULL,NULL,2.53,17.27,NULL,NULL,NULL,31.83,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,247,NULL,0.4,NULL,NULL,NULL,70.9667,94.61,NULL,3.6,6.67,NULL,20.4,37.1253,NULL,NULL,NULL,NULL,0.53,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.38,NULL,NULL,0.140059,1.05655,NULL,43.175,NULL,NULL,5.83,NULL,NULL,NULL,132,23.5,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,01-09-2008 00:00,NULL,NULL,NULL,NULL,NULL,0,199.5,NULL,NULL,NULL,NULL,NULL,41.6,NULL,NULL,NULL,43.8425,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,456,NULL,NULL,NULL,NULL,NULL,136.4,243.39,NULL,NULL,7.776,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,7.2,NULL,NULL,1.27355,NULL,NULL,104,NULL,NULL,NULL,NULL,NULL,NULL,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,01-02-2006 00:00,NULL,NULL,NULL,NULL,NULL,0,212.5,NULL,NULL,NULL,NULL,NULL,32,NULL,NULL,NULL,56.09,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,715,NULL,NULL,NULL,NULL,NULL,175.175,259.25,NULL,NULL,22.842,NULL,84.18,NULL,NULL,NULL,NULL,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7.65,NULL,NULL,0.772864,2.77724,NULL,80,NULL,NULL,28.32,NULL,NULL,NULL,NULL,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
021-HYDCHENNAI,Nallathur,Surface Water,Puducherry,Karaikal,Karaikal,Cauvery Basin,Cauvery Lower,CWC,02-11-2017 00:00,NULL,NULL,NULL,NULL,NULL,0,84,NULL,NULL,NULL,NULL,2.2,14,NULL,NULL,NULL,76.5,NULL,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,435,NULL,0.62,NULL,NULL,36,64,103,NULL,3.5,6.8,NULL,59.3,65,0.03,NULL,NULL,0.18,0.17,NULL,0.18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,7,6.9,NULL,NULL,0.4,3.2,NULL,NULL,NULL,NULL,14.3,NULL,NULL,NULL,231,26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0.01,NULL,NULL,NULL,NULL
